seconds,underlying,volume
618,194.27,5
619,194.27,1
620,194.255,1
621,194.245,1
622,194.2207,5
623,194.22,1
624,194.24,1
625,194.245,35
626,194.2439,2
627,194.24,1
628,194.2382,8
629,194.2299,3
630,194.24,1
631,194.255,1
632,194.2508,5
633,194.2401,1
634,194.2578,1
635,194.27,4
636,194.28,5
637,194.295,1
638,194.2955,1
639,194.3,5
640,194.315,1
641,194.29,1
642,194.3,1
643,194.301,1
644,194.31,1
645,194.3121,1
646,194.312,1
647,194.312,1
648,194.315,2
649,194.3109,5
650,194.32,1
651,194.32,1
652,194.33,1
653,194.335,1
654,194.345,2
655,194.33,1
656,194.3288,1
657,194.3,1
658,194.2889,4
659,194.3085,1
660,194.3085,1
661,194.31,1
662,194.3,1
663,194.3,1
664,194.3,1
665,194.3,1
666,194.3,1
667,194.32,1
668,194.33,1
669,194.325,1
670,194.33,1
671,194.33,1
672,194.34,1
673,194.315,1
674,194.3,1
675,194.33,1
676,194.36,3
677,194.36,8
678,194.36,1
679,194.35,1
680,194.35,10
681,194.36,1
682,194.35,1
683,194.35,1
684,194.3401,11
685,194.35,1
686,194.29,1
687,194.2917,3
688,194.32,1
689,194.32,1
690,194.3174,5
691,194.325,3
692,194.32,1
693,194.35,1
694,194.37,4
695,194.3699,1
696,194.35,1
697,194.3623,1
698,194.38,1
699,194.3799,1
700,194.35,1
701,194.36,1
702,194.38,1
703,194.37,1
704,194.38,1
705,194.39,1
706,194.385,1
707,194.38,1
708,194.38,1
709,194.37,1
710,194.36,1
711,194.37,1
712,194.3734,1
713,194.42,1
714,194.41,1
715,194.42,1
716,194.42,1
717,194.42,1
718,194.43,1
719,194.42,1
720,194.42,1
721,194.4318,1
722,194.4488,1
723,194.45,1
724,194.46,1
725,194.46,1
726,194.45,1
727,194.45,1
728,194.44,1
729,194.45,3
730,194.45,1
731,194.4301,3
732,194.445,27
733,194.44,3
734,194.42,2
735,194.4,5
736,194.41,1
737,194.4,1
738,194.415,1
739,194.41,1
740,194.41,1
741,194.43,1
742,194.425,3
743,194.44,1
744,194.44,1
745,194.43,5
746,194.41,1
747,194.41,1
748,194.42,1
749,194.4186,1
750,194.4186,1
751,194.41,1
752,194.42,2
753,194.4,1
754,194.39,1
755,194.42,1
756,194.43,1
757,194.45,1
758,194.445,1
759,194.46,3
760,194.475,1
761,194.4599,3
762,194.455,3
763,194.46,1
764,194.45,10
765,194.4433,2
766,194.45,1
767,194.46,2
768,194.46,9
769,194.47,1
770,194.4657,2
771,194.465,1
772,194.465,1
773,194.49,2
774,194.489,1
775,194.46,1
776,194.46,3
777,194.46,1
778,194.46,1
779,194.47,1
780,194.46,1
781,194.46,1
782,194.47,2
783,194.48,1
784,194.49,1
785,194.49,1
786,194.4827,1
787,194.47,1
788,194.46,1
789,194.46,1
790,194.46,1
791,194.4401,1
792,194.43,1
793,194.43,1
794,194.43,1
795,194.43,2
796,194.45,3
797,194.46,1
798,194.46,5
799,194.46,5
800,194.46,5
801,194.465,3
802,194.48,1
803,194.48,1
804,194.48,1
805,194.48,3
