,Date,Open,High,Low,Close,Adj Close,Volume,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
138,2022-03-17,158.610001,161.0,157.630005,160.619995,158.805237,75615400,,,,,,,,,,,,
139,2022-03-18,160.509995,164.479996,159.759995,163.979996,162.127228,123511700,,,,,,,,,,,,
140,2022-03-21,163.509995,166.350006,163.009995,165.380005,163.511429,95811400,,,,,,,,,,,,
141,2022-03-22,165.509995,169.419998,164.910004,168.820007,166.912582,81532000,,,,,,,,,,,,
142,2022-03-23,167.990005,172.639999,167.649994,170.210007,168.286865,98062700,,,,,,,,,,,,
143,2022-03-24,171.059998,174.139999,170.210007,174.070007,172.103256,90131400,,,,,,,,,,,,
144,2022-03-25,173.880005,175.279999,172.75,174.720001,172.745926,80546200,,,,,,,,,,,,
145,2022-03-28,172.169998,175.729996,172.0,175.600006,173.615967,90371900,,,,,,,,,,,,
146,2022-03-29,176.690002,179.009995,176.339996,178.960007,176.938019,100589400,,,,,,,,,,,,
147,2022-03-30,178.550003,179.610001,176.699997,177.770004,175.761459,92633200,,,,,,,,,,,,
148,2022-03-31,177.839996,178.029999,174.399994,174.610001,172.637161,103049300,,,,,,,,,,,,
149,2022-04-01,174.029999,174.880005,171.940002,174.309998,172.340546,78751300,,,,,,,,,,,,
150,2022-04-04,174.570007,178.490005,174.440002,178.440002,176.423889,76468400,,,,,,,,,,,,
151,2022-04-05,177.5,178.300003,174.419998,175.059998,173.082077,73401800,,,,,,,,,,,,
152,2022-04-06,172.360001,173.630005,170.130005,171.830002,169.88858,89058800,,,,,,,,,,,,
153,2022-04-07,171.160004,173.360001,169.850006,172.139999,170.195053,77594700,,,,,,,,,,,,
154,2022-04-08,171.779999,171.779999,169.199997,170.089996,168.168213,76575500,,,,,,,,,,,,
155,2022-04-11,168.710007,169.029999,165.5,165.75,163.877258,72246700,,,,,,,,,,,,
156,2022-04-12,168.020004,169.869995,166.639999,167.660004,165.765686,79265200,,,,,,,,,,,,
157,2022-04-13,167.389999,171.039993,166.770004,170.399994,168.474731,70618900,,,,,,,,,,,,
158,2022-04-14,170.619995,171.270004,165.039993,165.289993,163.42244,75329400,,,,,,,,,,,,
159,2022-04-18,163.919998,166.600006,163.570007,165.070007,163.204971,69023900,,,,,,,,,,,,
160,2022-04-19,165.020004,167.820007,163.910004,167.399994,165.508606,67723800,D,2022-04-19,2022-04-18,AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$164.91,"-8,000","136,290",-6%,"-$1,319,305"
161,2022-04-20,168.759995,168.880005,166.100006,167.229996,165.34053,67929800,,,,,,,,,,,,
162,2022-04-21,168.910004,171.529999,165.910004,166.419998,164.539673,87227800,,,,,,,,,,,,
163,2022-04-22,166.460007,167.869995,161.5,161.789993,159.962006,84882400,,,,,,,,,,,,
164,2022-04-25,161.119995,163.169998,158.460007,162.880005,161.039673,96046400,,,,,,,,,,,,
165,2022-04-26,162.25,162.339996,156.720001,156.800003,155.028381,95623200,,,,,,,,,,,,
166,2022-04-27,155.910004,159.789993,155.380005,156.570007,154.800995,88063200,,,,,,,,,,,,
167,2022-04-28,159.25,164.520004,158.929993,163.639999,161.791092,130216800,,,,,,,,,,,,
168,2022-04-29,161.839996,166.199997,157.25,157.649994,155.868774,131747600,,,,,,,,,,,,
169,2022-05-02,156.710007,158.229996,153.270004,157.960007,156.175262,123055300,,,,,,,,,,,,
170,2022-05-03,158.149994,160.710007,156.320007,159.479996,157.678101,88966500,,,,,,,,,,,,
171,2022-05-04,159.669998,166.479996,159.259995,166.020004,164.144226,108256500,,,,,,,,,,,,
172,2022-05-05,163.850006,164.080002,154.949997,156.770004,154.998749,130525300,,,,,,,,,,,,
173,2022-05-06,156.009995,159.440002,154.179993,157.279999,155.731415,116124600,,2022-05-06,2022-05-04,AAPL,Adams Katherine L.,"SVP, GC, Secretary",S - Sale,$161.72,"-25,000","452,334",-5%,"-$4,042,888"
174,2022-05-09,154.929993,155.830002,151.490005,152.059998,150.562836,131577900,,,,,,,,,,,,
175,2022-05-10,155.520004,156.740005,152.929993,154.509995,152.988708,115366700,,,,,,,,,,,,
176,2022-05-11,153.5,155.449997,145.809998,146.5,145.057571,142689800,,,,,,,,,,,,
177,2022-05-12,142.770004,146.199997,138.800003,142.559998,141.156342,182602000,,,,,,,,,,,,
178,2022-05-13,144.589996,148.100006,143.110001,147.110001,145.661545,113990900,,,,,,,,,,,,
179,2022-05-16,145.550003,147.520004,144.179993,145.539993,144.107025,86643800,,,,,,,,,,,,
180,2022-05-17,148.860001,149.770004,146.679993,149.240005,147.770599,78336300,,,,,,,,,,,,
181,2022-05-18,146.850006,147.360001,139.899994,140.820007,139.433517,109742900,,,,,,,,,,,,
182,2022-05-19,139.880005,141.660004,136.600006,137.350006,135.997681,136095600,,,,,,,,,,,,
183,2022-05-20,139.089996,140.699997,132.610001,137.589996,136.235291,137426100,,,,,,,,,,,,
184,2022-05-23,137.789993,143.259995,137.649994,143.110001,141.700943,117726300,,,,,,,,,,,,
185,2022-05-24,140.809998,141.970001,137.330002,140.360001,138.978012,104132700,,,,,,,,,,,,
186,2022-05-25,138.429993,141.789993,138.339996,140.520004,139.136444,92482700,,,,,,,,,,,,
187,2022-05-26,137.389999,144.339996,137.139999,143.779999,142.364334,90601500,,,,,,,,,,,,
188,2022-05-27,145.389999,149.679993,145.259995,149.639999,148.166641,90978500,,,,,,,,,,,,
189,2022-05-31,149.070007,150.660004,146.839996,148.839996,147.374542,103718400,,,,,,,,,,,,
190,2022-06-01,149.899994,151.740005,147.679993,148.710007,147.245804,74286600,,,,,,,,,,,,
191,2022-06-02,147.830002,151.270004,146.860001,151.210007,149.721222,72348100,,,,,,,,,,,,
192,2022-06-03,146.899994,147.970001,144.460007,145.380005,143.948608,88570300,,,,,,,,,,,,
