X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
DM,2024-01-24 16:41:11,2024-01-22,SNOW,Degnan Christopher William,Chief Revenue Officer,S - Sale+OE,$201.26,"-7,981","760,068",-1%,"-$1,606,259"
,2024-01-17 17:03:25,2024-01-16,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$190.00,"-1,500","990,442",0%,"-$285,000"
DM,2024-01-12 17:26:37,2024-01-10,SNOW,Degnan Christopher William,Chief Revenue Officer,S - Sale+OE,$200.19,"-4,801","763,903",-1%,"-$961,120"
D,2024-01-02 16:40:04,2023-12-28,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$200.79,"-275,000","1,046,749",-21%,"-$55,215,839"
DM,2023-12-28 16:31:15,2023-12-26,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$197.29,"-500,000","1,046,749",-32%,"-$98,645,995"
D,2023-12-18 16:57:48,2023-12-14,SNOW,Degnan Christopher William,Chief Revenue Officer,S - Sale+OE,$200.53,"-115,038","768,913",-13%,"-$23,068,912"
,2023-12-18 16:55:57,2023-12-14,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$198.57,"-1,500","991,942",0%,"-$297,855"
,2023-12-12 16:55:45,2023-12-11,SNOW,Czajkowski Grzegorz,"SVP, Engineering, Support",S - Sale,$188.97,-558,"52,747",-1%,"-$105,445"
,2023-12-12 16:53:49,2023-12-11,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$188.97,-724,"993,442",0%,"-$136,814"
,2023-12-12 16:48:23,2023-12-11,SNOW,Slootman Frank,"CEO, COB",S - Sale,$193.70,"-1,311","1,046,749",0%,"-$253,943"
,2023-12-12 16:40:37,2023-12-11,SNOW,Dageville Benoit,Pres of Products,S - Sale,$188.97,-558,"5,019,944",0%,"-$105,445"
D,2023-12-01 19:11:20,2023-11-30,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$188.00,"-13,182","5,021,052",0%,"-$2,478,216"
D,2023-11-30 19:27:21,2023-11-29,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$175.90,"-112,500","1,049,519",-10%,"-$19,788,608"
D,2023-11-27 16:50:56,2023-11-22,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$169.70,"-8,326","1,049,519",-1%,"-$1,412,954"
,2023-11-15 17:49:30,2023-11-14,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$164.75,"-1,500","994,550",0%,"-$247,125"
D,2023-11-13 18:17:46,2023-11-10,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$154.49,"-13,182","5,025,009",0%,"-$2,036,487"
D,2023-11-09 17:21:42,2023-11-08,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$157.79,"-8,334","1,049,519",-1%,"-$1,315,005"
D,2023-11-06 16:38:36,2023-11-03,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$150.07,"-4,026","1,049,519",0%,"-$604,186"
D,2023-10-26 16:36:21,2023-10-25,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$145.67,"-4,308","1,049,519",0%,"-$627,556"
,2023-10-17 18:57:05,2023-10-16,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$157.90,"-1,500","996,050",0%,"-$236,850"
D,2023-10-12 16:36:05,2023-10-11,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$163.68,"-8,334","1,049,519",-1%,"-$1,364,095"
D,2023-10-11 17:00:53,2023-10-10,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$163.00,"-13,182","5,028,964",0%,"-$2,148,666"
DM,2023-09-29 16:34:26,2023-09-27,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$149.16,"-8,334","1,049,519",-1%,"-$1,243,089"
,2023-09-15 18:52:54,2023-09-14,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$166.00,"-1,500","997,550",0%,"-$249,000"
D,2023-09-14 16:54:59,2023-09-13,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$165.35,"-8,334","1,049,519",-1%,"-$1,378,001"
,2023-09-12 18:51:58,2023-09-11,SNOW,Czajkowski Grzegorz,"SVP, Engineering, Support",S - Sale,$166.27,-694,"54,701",-1%,"-$115,391"
