date,underlying,volume,open,high,low
07-26 11:58:25:395998,194.28,5,193.67,194.94,193.32
07-26 11:58:26:405190,194.275,1,193.67,194.94,193.32
07-26 11:58:27:398556,194.275,1,193.67,194.94,193.32
07-26 11:58:28:401144,194.28,1,193.67,194.94,193.32
07-26 11:58:29:411776,194.27,1,193.67,194.94,193.32
07-26 11:58:30:416876,194.27,1,193.67,194.94,193.32
07-26 11:58:31:429592,194.27,1,193.67,194.94,193.32
07-26 11:58:32:475363,194.27,1,193.67,194.94,193.32
07-26 11:58:33:434401,194.29,1,193.67,194.94,193.32
07-26 11:58:34:462492,194.29,1,193.67,194.94,193.32
07-26 11:58:35:481317,194.3,1,193.67,194.94,193.32
07-26 11:58:36:451343,194.3,1,193.67,194.94,193.32
07-26 11:58:37:456459,194.305,1,193.67,194.94,193.32
07-26 11:58:38:475761,194.3,1,193.67,194.94,193.32
07-26 11:58:39:505095,194.3,1,193.67,194.94,193.32
07-26 11:58:40:476816,194.32,1,193.67,194.94,193.32
07-26 11:58:41:479931,194.31,1,193.67,194.94,193.32
07-26 11:58:42:483150,194.31,1,193.67,194.94,193.32
07-26 11:58:43:564435,194.31,1,193.67,194.94,193.32
07-26 11:58:44:506629,194.33,1,193.67,194.94,193.32
07-26 11:58:45:512290,194.32,1,193.67,194.94,193.32
07-26 11:58:46:519531,194.3199,1,193.67,194.94,193.32
07-26 11:58:47:624458,194.32,1,193.67,194.94,193.32
07-26 11:58:48:526337,194.31,1,193.67,194.94,193.32
07-26 11:58:49:566627,194.31,1,193.67,194.94,193.32
07-26 11:58:50:545715,194.31,1,193.67,194.94,193.32
07-26 11:58:51:580328,194.31,1,193.67,194.94,193.32
07-26 11:58:52:587845,194.31,1,193.67,194.94,193.32
07-26 11:58:53:554579,194.31,1,193.67,194.94,193.32
07-26 11:58:54:562266,194.31,1,193.67,194.94,193.32
07-26 11:58:55:561514,194.3,1,193.67,194.94,193.32
07-26 11:58:56:584254,194.29,1,193.67,194.94,193.32
07-26 11:58:57:604622,194.2985,3,193.67,194.94,193.32
07-26 11:58:58:578127,194.31,1,193.67,194.94,193.32
07-26 11:58:59:632294,194.31,1,193.67,194.94,193.32
07-26 11:59:00:600521,194.32,1,193.67,194.94,193.32
07-26 11:59:01:598122,194.3273,2,193.67,194.94,193.32
07-26 11:59:02:637438,194.33,2,193.67,194.94,193.32
07-26 11:59:03:650593,194.34,1,193.67,194.94,193.32
07-26 11:59:04:661986,194.36,1,193.67,194.94,193.32
07-26 11:59:05:646993,194.36,1,193.67,194.94,193.32
07-26 11:59:06:612605,194.36,1,193.67,194.94,193.32
07-26 11:59:07:655093,194.37,1,193.67,194.94,193.32
07-26 11:59:08:635035,194.37,1,193.67,194.94,193.32
07-26 11:59:09:631480,194.36,1,193.67,194.94,193.32
07-26 11:59:10:680414,194.38,2,193.67,194.94,193.32
07-26 11:59:11:690878,194.3867,2,193.67,194.94,193.32
07-26 11:59:12:703474,194.3606,1,193.67,194.94,193.32
07-26 11:59:13:655249,194.3606,1,193.67,194.94,193.32
07-26 11:59:14:699281,194.37,2,193.67,194.94,193.32
07-26 11:59:15:659876,194.37,2,193.67,194.94,193.32
07-26 11:59:16:659547,194.37,1,193.67,194.94,193.32
07-26 11:59:17:676323,194.3771,2,193.67,194.94,193.32
07-26 11:59:18:677247,194.375,1,193.67,194.94,193.32
