Date,Time,Close,Volume,Insider_Trades,Negative_Count,Neutral_Count,Positive_Count,Total_Count
2024-04-11,689,159.35000610351562,5737500,0.0,0.0,0.0,0.0,0.0
2024-04-12,690,158.55999755859375,4642000,0.0,-1.0,0.0,0.0,-1.0
2024-04-15,691,151.97999572753906,5929200,-234570.0,0.0,0.0,2.0,2.0
2024-04-16,692,150.3000030517578,4705700,0.0,-1.0,0.0,1.0,0.0
2024-04-17,693,148.8000030517578,3767100,0.0,0.0,0.0,0.0,0.0
2024-04-18,694,148.41000366210938,3795500,0.0,0.0,0.0,0.0,0.0
2024-04-19,695,145.4499969482422,4959000,0.0,0.0,0.0,0.0,0.0
2024-04-22,696,147.2100067138672,3736500,0.0,0.0,0.0,1.0,1.0
2024-04-23,697,151.1699981689453,4826500,0.0,0.0,0.0,0.0,0.0
2024-04-24,698,154.99000549316406,3972700,0.0,0.0,3.0,0.0,0.0
2024-04-25,699,152.5,3965000,0.0,0.0,1.0,0.0,0.0
2024-04-26,700,158.1300048828125,6533300,0.0,0.0,0.0,1.0,1.0
2024-04-29,701,157.44000244140625,4268000,0.0,-1.0,1.0,0.0,-1.0
2024-04-30,702,155.1999969482422,4016200,0.0,0.0,0.0,0.0,0.0
2024-05-01,703,156.13999938964844,3414900,-2001148.0,0.0,0.0,0.0,0.0
2024-05-02,704,157.77000427246094,2671600,0.0,0.0,0.0,1.0,1.0
2024-05-03,705,159.32000732421875,3660200,0.0,0.0,0.0,0.0,0.0
2024-05-06,706,163.67999267578125,3198500,0.0,0.0,0.0,0.0,0.0
2024-05-07,707,159.08999633789062,4569300,0.0,0.0,0.0,1.0,1.0
2024-05-08,708,157.77999877929688,2632200,0.0,0.0,1.0,1.0,1.0
2024-05-09,709,155.8699951171875,2560800,0.0,0.0,0.0,0.0,0.0
2024-05-10,710,157.14999389648438,2443800,0.0,0.0,0.0,0.0,0.0
2024-05-13,711,159.7899932861328,3180700,0.0,0.0,1.0,0.0,0.0
2024-05-14,712,160.9499969482422,2831100,-241725.0,0.0,0.0,1.0,1.0
2024-05-15,713,164.3699951171875,4147200,0.0,-1.0,0.0,0.0,-1.0
2024-05-16,714,165.0399932861328,3021500,0.0,0.0,1.0,0.0,0.0
2024-05-17,715,161.86000061035156,3625300,0.0,0.0,0.0,1.0,1.0
2024-05-20,716,164.77999877929688,3545100,0.0,-1.0,0.0,2.0,1.0
2024-05-21,717,162.7100067138672,4051300,0.0,0.0,1.0,2.0,2.0
2024-05-22,718,163.33999633789062,9912500,0.0,-1.0,1.0,2.0,1.0
2024-05-23,719,154.5800018310547,19511100,0.0,0.0,1.0,1.0,1.0
2024-05-24,720,156.16000366210938,6020500,-1029340.0,0.0,0.0,0.0,0.0
2024-05-28,721,150.74000549316406,6453700,0.0,0.0,0.0,0.0,0.0
2024-05-29,722,148.19000244140625,4880100,0.0,-1.0,1.0,0.0,-1.0
2024-05-30,723,140.9499969482422,9278600,0.0,0.0,0.0,2.0,2.0
2024-05-31,724,136.17999267578125,14049200,0.0,0.0,0.0,2.0,2.0
2024-06-03,725,136.92999267578125,7549700,0.0,0.0,2.0,1.0,1.0
2024-06-04,726,137.0,7627400,-2057100.0,-1.0,3.0,2.0,1.0
2024-06-05,727,134.2899932861328,15919800,0.0,0.0,1.0,0.0,0.0
2024-06-06,728,132.0399932861328,8261000,0.0,-2.0,0.0,0.0,-2.0
2024-06-07,729,131.2100067138672,4346900,0.0,-1.0,1.0,0.0,-1.0
