Date,Close,Volume
2023-01-20,224.30999755859375,5211000
2023-01-23,224.17999267578125,5501500
2023-01-24,223.88999938964844,5274900
2023-01-25,224.89999389648438,4729600
2023-01-26,224.7100067138672,7043400
2023-01-27,231.44000244140625,11382600
2023-01-30,229.10000610351562,5677400
2023-01-31,230.2100067138672,11294200
2023-02-01,230.89999389648438,5792700
2023-02-02,229.55999755859375,7190000
2023-02-03,230.1300048828125,5243600
2023-02-06,229.44000244140625,3402400
2023-02-07,231.32000732421875,4042600
2023-02-08,230.1999969482422,4978600
2023-02-09,229.35000610351562,5238400
2023-02-10,227.1999969482422,4509700
2023-02-13,228.8800048828125,4946700
2023-02-14,229.38999938964844,4829400
2023-02-15,228.9199981689453,4407300
2023-02-16,225.8300018310547,3865900
2023-02-17,223.55999755859375,4520200
2023-02-21,220.6199951171875,7276100
2023-02-22,220.02000427246094,4621800
2023-02-23,221.1300048828125,5533800
2023-02-24,219.5500030517578,4414400
2023-02-27,220.35000610351562,4255300
2023-02-28,219.94000244140625,5385400
2023-03-01,218.36000061035156,4792700
2023-03-02,219.05999755859375,5539300
2023-03-03,223.77000427246094,6055400
2023-03-06,226.75,5737600
2023-03-07,223.1699981689453,4386800
2023-03-08,222.19000244140625,4194900
2023-03-09,220.00999450683594,5066700
2023-03-10,216.13999938964844,6638900
2023-03-13,214.47000122070312,6810800
2023-03-14,218.66000366210938,7985600
2023-03-15,216.3699951171875,8372200
2023-03-16,217.4499969482422,13674600
2023-03-17,217.38999938964844,18801200
2023-03-20,218.14999389648438,9817400
2023-03-21,221.9499969482422,8971400
2023-03-22,220.0399932861328,6700600
2023-03-23,222.58999633789062,6427700
2023-03-24,221.0399932861328,4791500
2023-03-27,221.80999755859375,7210900
2023-03-28,220.3300018310547,6418400
2023-03-29,223.3000030517578,4483000
2023-03-30,222.36000061035156,5383900
2023-03-31,225.4600067138672,9509000
2023-04-03,229,6421500
2023-04-04,227.66000366210938,5254700
2023-04-05,228.1699981689453,4813600
2023-04-06,225.99000549316406,4285200
2023-04-10,226.42999267578125,4952200
2023-04-11,228.4499969482422,4513300
2023-04-12,227.80999755859375,4373000
2023-04-13,232.69000244140625,7615500
2023-04-14,234.02000427246094,9781300
2023-04-17,233.47999572753906,4865000
2023-04-18,233.60000610351562,4796200
2023-04-19,232.57000732421875,3833900
2023-04-20,234.60000610351562,4925700
2023-04-21,234.0500030517578,6771500
2023-04-24,232.75999450683594,9124100
2023-04-25,229.58999633789062,6076500
2023-04-26,228.14999389648438,8400400
2023-04-27,229.00999450683594,7128200
2023-04-28,232.72999572753906,11627900
2023-05-01,232.50999450683594,4571100
2023-05-02,226.97999572753906,5244000
2023-05-03,225.97999572753906,4093300
2023-05-04,225.60000610351562,5648700
2023-05-05,231.77999877929688,6237000
2023-05-08,232.22999572753906,2938400
2023-05-09,233.25999450683594,4352100
2023-05-10,231.27000427246094,5245000
2023-05-11,231.00999450683594,3818000
2023-05-12,231.3800048828125,3430300
2023-05-15,232.80999755859375,2843200
2023-05-16,230.47000122070312,4289700
2023-05-17,232.64999389648438,4990100
2023-05-18,233.60000610351562,6621900
2023-05-19,233.30999755859375,5399100
2023-05-22,231.27999877929688,3987800
2023-05-23,224.5800018310547,8537200
2023-05-24,222.25,6730800
2023-05-25,223.3800048828125,6827600
2023-05-26,225.00999450683594,5067300
2023-05-30,221.63999938964844,6916000
2023-05-31,221.02999877929688,20460600
2023-06-01,226.5,7003600
2023-06-02,228.7899932861328,5895500
2023-06-05,226.77000427246094,4858900
2023-06-06,228.22000122070312,6020100
2023-06-07,225.27000427246094,8517200
2023-06-08,223.0500030517578,6248200
2023-06-09,223.55999755859375,6385000
2023-06-12,226.1699981689453,8621100
2023-06-13,223.39999389648438,6868700
2023-06-14,223.44000244140625,9160700
2023-06-15,226.1699981689453,12534000
2023-06-16,228.91000366210938,13628500
2023-06-20,226.47000122070312,12312300
2023-06-21,227.25,7032100
2023-06-22,228.38999938964844,6275500
2023-06-23,229.5500030517578,5422500
2023-06-26,226.3000030517578,5165400
2023-06-27,227.33999633789062,4628500
2023-06-28,227.9600067138672,5324500
2023-06-29,234.32000732421875,7118900
2023-06-30,237.47999572753906,6879100
2023-07-03,237.97000122070312,3087400
2023-07-05,239.4499969482422,7601200
2023-07-06,238.8800048828125,6441800
2023-07-07,236.4499969482422,5729200
2023-07-10,238.16000366210938,4858900
2023-07-11,240.5500030517578,3857100
2023-07-12,242.2100067138672,6116000
2023-07-13,243.30999755859375,5819600
2023-07-14,243.16000366210938,4940600
2023-07-17,243.99000549316406,4328100
2023-07-18,240.77000427246094,7674700
2023-07-19,241.4199981689453,4835500
2023-07-20,239.6199951171875,4695000
2023-07-21,239.25,5426800
2023-07-24,240.74000549316406,6010000
2023-07-25,238.69000244140625,4997500
2023-07-26,237.10000610351562,7551400
2023-07-27,234.44000244140625,8160100
