v,vw,o,c,h,l,t,n,consistency,date
243884,185.5019,184.8,184.45,184.82,184.4,1704805200000,147,121000.0,2024-01-09 07:00:00
11162,184.5205,184.4798,184.5599,184.83,184.24,1704805201000,215,1000.0,2024-01-09 07:00:01
2243,184.5017,184.53,184.39,184.6499,184.39,1704805202000,82,1000.0,2024-01-09 07:00:02
847,184.6766,184.68,184.68,184.68,184.68,1704805203000,5,1000.0,2024-01-09 07:00:03
104,184.68,184.68,184.68,184.68,184.68,1704805205000,1,2000.0,2024-01-09 07:00:05
256,184.7259,184.68,184.68,184.68,184.68,1704805207000,11,2000.0,2024-01-09 07:00:07
198,184.5552,184.4255,184.4255,184.4255,184.4255,1704805210000,29,3000.0,2024-01-09 07:00:10
165,184.6163,184.61,184.61,184.61,184.61,1704805254000,4,44000.0,2024-01-09 07:00:54
715,185.8811,185.83,185.84,185.84,185.83,1704805261000,7,7000.0,2024-01-09 07:01:01
309,185.7374,186.1,186.1,186.1,186.1,1704805265000,26,4000.0,2024-01-09 07:01:05
1117,184.6381,184.64,184.64,184.64,184.64,1704805269000,21,4000.0,2024-01-09 07:01:09
365,184.5928,184.59,184.59,184.59,184.59,1704805275000,3,6000.0,2024-01-09 07:01:15
223,185.1227,185.12,185.12,185.12,185.12,1704805285000,15,10000.0,2024-01-09 07:01:25
182,184.59,184.59,184.59,184.59,184.59,1704805294000,2,9000.0,2024-01-09 07:01:34
494,185.3439,185.6,185.6,185.6,185.6,1704805311000,24,17000.0,2024-01-09 07:01:51
3086,185.3633,185.6,185.34,185.6,185.33,1704805312000,30,1000.0,2024-01-09 07:01:52
2690,185.4859,185.4,185.5,185.74,185.4,1704805313000,38,1000.0,2024-01-09 07:01:53
456,185.7579,185.79,185.75,185.79,185.75,1704805315000,56,2000.0,2024-01-09 07:01:55
1565,185.6551,185.63,185.63,185.63,185.63,1704805316000,22,1000.0,2024-01-09 07:01:56
375,185.8619,185.88,185.88,185.88,185.88,1704805317000,15,1000.0,2024-01-09 07:01:57
1125,185.7023,185.7,185.7,185.7,185.7,1704805318000,15,1000.0,2024-01-09 07:01:58
334,185.9148,185.99,185.99,185.99,185.99,1704805319000,17,1000.0,2024-01-09 07:01:59
465,185.8645,185.82,186.0,186.0,185.82,1704805320000,25,1000.0,2024-01-09 07:02:00
3276,185.9622,186.0,185.96,186.0,185.95,1704805321000,34,1000.0,2024-01-09 07:02:01
1936,186.1293,186.02,186.1,186.1,186.02,1704805322000,42,1000.0,2024-01-09 07:02:02
1517,186.2793,186.37,186.27,186.37,186.27,1704805326000,27,4000.0,2024-01-09 07:02:06
1745,186.2898,186.39,186.26,186.4,186.25,1704805327000,63,1000.0,2024-01-09 07:02:07
375,184.9995,184.6,184.6,184.6,184.6,1704805328000,38,1000.0,2024-01-09 07:02:08
227,185.2404,185.62,185.62,185.62,185.62,1704805329000,16,1000.0,2024-01-09 07:02:09
318,185.8715,186.03,186.03,186.03,186.03,1704805331000,15,2000.0,2024-01-09 07:02:11
470,186.0662,186.43,186.43,186.43,186.43,1704805335000,13,4000.0,2024-01-09 07:02:15
113,185.9128,185.98,185.98,185.98,185.98,1704805337000,12,2000.0,2024-01-09 07:02:17
400,185.6236,185.46,185.46,185.46,185.46,1704805338000,22,1000.0,2024-01-09 07:02:18
395,184.7982,184.52,184.52,184.52,184.52,1704805339000,38,1000.0,2024-01-09 07:02:19
467,185.633,185.46,185.82,185.82,185.46,1704805340000,8,1000.0,2024-01-09 07:02:20
370,185.7501,185.75,185.75,185.75,185.75,1704805341000,11,1000.0,2024-01-09 07:02:21
194,185.9565,185.98,185.98,185.98,185.98,1704805342000,11,1000.0,2024-01-09 07:02:22
188,185.8343,186.21,186.21,186.21,186.21,1704805344000,9,2000.0,2024-01-09 07:02:24
1325,186.2303,186.24,186.24,186.24,186.24,1704805348000,9,4000.0,2024-01-09 07:02:28
314,185.9751,185.98,185.98,185.98,185.98,1704805349000,10,1000.0,2024-01-09 07:02:29
484,185.8791,185.97,185.97,185.97,185.97,1704805355000,15,6000.0,2024-01-09 07:02:35
177,185.8272,185.98,185.98,185.98,185.98,1704805364000,16,9000.0,2024-01-09 07:02:44
410,185.8047,185.73,185.73,185.73,185.73,1704805374000,14,10000.0,2024-01-09 07:02:54
1335,185.7011,185.69,185.69,185.69,185.69,1704805377000,9,3000.0,2024-01-09 07:02:57
318,185.8975,186.21,185.7,186.21,185.7,1704805379000,18,2000.0,2024-01-09 07:02:59
1174,184.9517,185.68,185.68,185.68,185.68,1704805380000,38,1000.0,2024-01-09 07:03:00
300,185.9751,185.98,185.98,185.98,185.98,1704805381000,20,1000.0,2024-01-09 07:03:01
1665,185.5158,185.68,184.6,185.68,184.6,1704805382000,14,1000.0,2024-01-09 07:03:02
343,185.8058,185.79,185.79,185.79,185.79,1704805383000,6,1000.0,2024-01-09 07:03:03
193,185.8484,185.95,185.95,185.95,185.95,1704805385000,14,2000.0,2024-01-09 07:03:05
128,185.5804,185.46,185.46,185.46,185.46,1704805389000,8,4000.0,2024-01-09 07:03:09
1257,185.957,186.0,185.82,186.0,185.82,1704805390000,16,1000.0,2024-01-09 07:03:10
233,186.0169,186.03,186.03,186.03,186.03,1704805392000,10,2000.0,2024-01-09 07:03:12
1339,186.2028,186.23,186.23,186.23,186.23,1704805393000,15,1000.0,2024-01-09 07:03:13
684,185.9748,185.46,186.37,186.37,185.46,1704805395000,17,2000.0,2024-01-09 07:03:15
164,185.9777,185.98,185.98,185.98,185.98,1704805401000,9,6000.0,2024-01-09 07:03:21
1414,185.7927,186.23,185.99,186.23,184.6,1704805403000,14,2000.0,2024-01-09 07:03:23
286,185.987,186.09,186.09,186.09,186.09,1704805406000,15,3000.0,2024-01-09 07:03:26
173,185.7209,185.63,185.63,185.63,185.63,1704805408000,11,2000.0,2024-01-09 07:03:28
1590,186.1534,186.25,185.69,186.25,185.69,1704805409000,13,1000.0,2024-01-09 07:03:29
540,186.2333,186.25,186.4,186.4,186.25,1704805412000,13,3000.0,2024-01-09 07:03:32
579,185.9933,186.28,185.5,186.28,185.5,1704805414000,15,2000.0,2024-01-09 07:03:34
390,185.8914,186.0,186.0,186.0,186.0,1704805415000,17,1000.0,2024-01-09 07:03:35
224,185.9832,186.0,186.0,186.0,186.0,1704805419000,8,4000.0,2024-01-09 07:03:39
270,185.9517,185.97,185.97,185.97,185.97,1704805424000,17,5000.0,2024-01-09 07:03:44
497,185.9699,185.98,185.98,185.98,185.98,1704805425000,22,1000.0,2024-01-09 07:03:45
260,186.0171,185.99,185.99,185.99,185.99,1704805428000,14,3000.0,2024-01-09 07:03:48
1791,186.076,186.08,186.09,186.09,186.08,1704805430000,39,2000.0,2024-01-09 07:03:50
779,186.0031,186.21,185.98,186.21,185.98,1704805431000,45,1000.0,2024-01-09 07:03:51
372,186.0309,186.06,186.06,186.06,186.06,1704805432000,32,1000.0,2024-01-09 07:03:52
496,186.0664,185.98,185.98,185.98,185.98,1704805433000,41,1000.0,2024-01-09 07:03:53
774,186.1381,186.14,186.14,186.14,186.14,1704805434000,9,1000.0,2024-01-09 07:03:54
1817,186.0758,186.0,186.2,186.21,186.0,1704805435000,44,1000.0,2024-01-09 07:03:55
1002,184.6575,184.66,184.66,184.66,184.66,1704805436000,11,1000.0,2024-01-09 07:03:56
816,184.5437,184.55,184.52,184.55,184.52,1704805441000,23,5000.0,2024-01-09 07:04:01
205,184.522,184.52,184.52,184.52,184.52,1704805447000,4,6000.0,2024-01-09 07:04:07
200,184.52,184.52,184.52,184.52,184.52,1704805459000,2,12000.0,2024-01-09 07:04:19
400,184.5099,184.52,184.52,184.52,184.52,1704805460000,12,1000.0,2024-01-09 07:04:20
200,184.5,184.5,184.5,184.5,184.5,1704805461000,4,1000.0,2024-01-09 07:04:21
343,184.5253,184.55,184.51,184.55,184.51,1704805475000,13,14000.0,2024-01-09 07:04:35
423,184.501,184.501,184.501,184.501,184.501,1704805477000,1,2000.0,2024-01-09 07:04:37
1112,184.5,184.5,184.5,184.5,184.5,1704805483000,8,6000.0,2024-01-09 07:04:43
1442,184.5,184.5,184.5,184.5,184.5,1704805486000,24,3000.0,2024-01-09 07:04:46
2025,184.5,184.5,184.5,184.5,184.5,1704805523000,13,37000.0,2024-01-09 07:05:23
147,184.46,184.46,184.46,184.46,184.46,1704805573000,1,50000.0,2024-01-09 07:06:13
