,Date,Close,Volume,Insider_Trades,News_Sentiment
98,2023-10-18,113.08000183105467,1990187,0.0,
99,2023-10-19,111.97000122070312,2760859,0.0,
100,2023-10-20,110.5,3295083,0.0,
101,2023-10-23,109.61000061035156,4488292,0.0,
102,2023-10-24,115.4499969482422,6064130,0.0,
103,2023-10-25,114.12000274658205,5210790,0.0,
104,2023-10-26,114.26000213623048,4179866,0.0,
105,2023-10-27,112.45999908447266,2953092,0.0,
106,2023-10-30,112.94000244140624,2655664,0.0,
107,2023-10-31,113.75,2978876,0.0,
108,2023-11-01,114.93000030517578,2387273,-768825.0,
109,2023-11-02,117.80999755859376,2807481,0.0,
110,2023-11-03,119.54000091552734,2724830,0.0,
111,2023-11-06,119.63999938964844,1947439,0.0,
112,2023-11-07,119.20999908447266,2340303,0.0,
113,2023-11-08,120.12999725341795,2737203,0.0,
114,2023-11-09,119.37999725341795,2697592,0.0,
115,2023-11-10,121.51000213623048,2093765,0.0,
116,2023-11-13,121.55999755859376,2403562,0.0,
117,2023-11-14,122.16000366210938,2674103,0.0,
118,2023-11-15,125.23999786376952,4259325,0.0,
119,2023-11-16,124.83000183105467,4478332,0.0,
120,2023-11-17,124.08000183105467,5007185,0.0,
121,2023-11-20,124.08000183105467,3367107,0.0,
122,2023-11-21,125.08999633789062,2795324,0.0,
123,2023-11-22,125.4499969482422,1843262,0.0,
124,2023-11-24,125.8000030517578,1111237,0.0,
125,2023-11-27,126.52999877929688,2334825,0.0,
126,2023-11-28,127.47000122070312,3003077,-1165095.0,
127,2023-11-29,129.36000061035156,3277455,0.0,
128,2023-11-30,130.61000061035156,4734054,0.0,
129,2023-12-01,130.61000061035156,2516384,-876893.0,
130,2023-12-04,130.35000610351562,2466672,0.0,
131,2023-12-05,130.4499969482422,2291860,0.0,
132,2023-12-06,131.08999633789062,2613480,0.0,
133,2023-12-07,131.4199981689453,2634404,0.0,
134,2023-12-08,132.36000061035156,2364472,0.0,
135,2023-12-11,133.9199981689453,3122231,0.0,
136,2023-12-12,134.49000549316406,3076470,-10725600.0,
137,2023-12-13,135.22000122070312,3265763,-3432915.0,
138,2023-12-14,135.00999450683594,5353179,0.0,
139,2023-12-15,133.00999450683594,7200131,0.0,
140,2023-12-18,134.49000549316406,4164973,0.0,
141,2023-12-19,134.17999267578125,4221796,0.0,
142,2023-12-20,132.74000549316406,2780573,0.0,
143,2023-12-21,133.2100067138672,2036598,0.0,
144,2023-12-22,133.61000061035156,2360064,0.0,
145,2023-12-26,132.58999633789062,2149521,-24972444.0,
146,2023-12-27,133.00999450683594,1762876,-216993.0,
147,2023-12-28,133.3800048828125,1636069,0.0,
148,2023-12-29,132.83999633789062,2021783,0.0,
149,2024-01-02,133.0800018310547,3227824,0.0,
150,2024-01-03,131.75,3710743,0.0,
151,2024-01-04,133.0,2839159,0.0,
152,2024-01-05,132.57000732421875,2564880,0.0,
153,2024-01-08,135.22999572753906,2453496,0.0,
154,2024-01-09,135.10000610351562,2322699,0.0,
155,2024-01-10,135.39999389648438,2008954,0.0,
156,2024-01-11,136.38999938964844,2105152,0.0,
157,2024-01-12,136.9199981689453,1963174,0.0,
158,2024-01-16,137.0,2702907,0.0,
159,2024-01-17,137.44000244140625,3139533,0.0,
160,2024-01-18,137.80999755859375,2882857,0.0,
161,2024-01-19,139.02000427246094,3053996,0.0,
162,2024-01-22,140.52000427246094,2082085,0.0,
163,2024-01-23,140.60000610351562,2242499,0.0,
164,2024-01-24,140.0,2455250,0.0,
165,2024-01-25,140.66000366210938,2130788,0.0,
166,2024-01-26,141.33999633789062,1972696,0.0,
167,2024-01-29,142.91000366210938,2080233,0.0,
168,2024-01-30,144.0500030517578,2301876,0.0,
169,2024-01-31,141.8699951171875,3091883,0.0,
170,2024-02-01,143.94000244140625,2337213,0.0,
171,2024-02-02,144.89999389648438,2565256,0.0,
172,2024-02-05,144.14999389648438,3297390,0.0,
173,2024-02-06,141.08999633789062,5105375,0.0,
174,2024-02-07,142.7100067138672,2906428,0.0,
175,2024-02-08,143.5500030517578,2283661,0.0,
176,2024-02-09,144.22999572753906,2095015,0.0,
177,2024-02-12,144.22999572753906,1689617,0.0,
178,2024-02-13,143.5800018310547,2116018,0.0,
179,2024-02-14,144.97999572753906,2234226,0.0,
180,2024-02-15,148.00999450683594,2216246,0.0,
181,2024-02-16,148.0399932861328,2207483,0.0,
182,2024-02-20,147.92999267578125,2542032,0.0,
183,2024-02-21,147.63999938964844,2162549,0.0,
184,2024-02-22,150.11000061035156,1868975,0.0,
185,2024-02-23,150.75999450683594,2178724,0.0,
186,2024-02-26,150.9600067138672,2487669,0.0,
187,2024-02-27,150.64999389648438,1858949,0.0,
188,2024-02-28,147.9499969482422,5774622,0.0,
189,2024-02-29,149.27000427246094,4807471,0.0,
190,2024-03-01,150.35000610351562,2169656,0.0,
