volume,vw,open,close,high,low,t,num_trades,simpletime,date,vwap
100,195.5,195.5,195.5,195.5,195.5,1704806981000,1,60,2024-01-09 07:29:41,195.5097781953662
1955,195.4011,195.4,195.4,195.4,195.4,1704807094000,13,61,2024-01-09 07:31:34,195.5017648487591
350,195.3,195.3,195.3,195.3,195.3,1704807149000,2,62,2024-01-09 07:32:29,195.49913613758187
158,195.2985,195.3,195.3,195.3,195.3,1704807151000,2,63,2024-01-09 07:32:31,195.49796300051807
609,195.17,195.17,195.17,195.17,195.17,1704807154000,3,64,2024-01-09 07:32:34,195.4907345445333
200,195.0117,195.02,195.02,195.02,195.02,1704807172000,7,65,2024-01-09 07:32:52,195.48729209155255
100,195.18,195.18,195.18,195.18,195.18,1704807175000,1,66,2024-01-09 07:32:55,195.48619190863195
200,195.1,195.1,195.1,195.1,195.1,1704807276000,1,67,2024-01-09 07:34:36,195.48344624080192
300,195.0157,195.02,195.01,195.02,195.01,1704807337000,4,68,2024-01-09 07:35:37,195.47851064682914
733,195.0005,195.0,195.0,195.0,195.0,1704807352000,5,69,2024-01-09 07:35:52,195.46649645796185
400,195.0095,195.01,195.01,195.01,195.01,1704807359000,5,70,2024-01-09 07:35:59,195.46031331010687
1111,194.9539,194.95,194.95,194.95,194.95,1704807363000,4,71,2024-01-09 07:36:03,195.44197182070087
200,194.948,194.95,194.95,194.95,194.95,1704807410000,3,72,2024-01-09 07:36:50,195.43877200323882
250,194.9962,194.9962,194.9962,194.9962,194.9962,1704807445000,1,73,2024-01-09 07:37:25,195.4352172080321
2044,194.7068,194.8,194.49,194.8,194.49,1704807458000,31,74,2024-01-09 07:37:38,195.39032936778312
100,194.49,194.49,194.49,194.49,194.49,1704807477000,1,75,2024-01-09 07:37:57,195.38762315669237
100,194.52,194.52,194.52,194.52,194.52,1704807479000,1,76,2024-01-09 07:37:59,195.3850230693158
277,194.3825,194.38,194.38,194.38,194.38,1704807796000,5,77,2024-01-09 07:43:16,195.37676952089396
300,194.6,194.6,194.6,194.6,194.6,1704807840000,1,78,2024-01-09 07:44:00,195.36990476933948
500,194.5,194.5,194.5,194.5,194.5,1704807926000,6,79,2024-01-09 07:45:26,195.3572776897172
100,194.3329,194.3329,194.3329,194.3329,194.3329,1704807951000,1,80,2024-01-09 07:45:51,195.35431243269838
3000,194.5,194.5,194.5,194.5,194.5,1704808307000,1,81,2024-01-09 07:51:47,195.28605117189576
100,194.55,194.55,194.55,194.55,194.55,1704808797000,1,82,2024-01-09 07:59:57,195.28409598098065
278,194.6,194.6,194.6,194.6,194.6,1704809301000,4,83,2024-01-09 08:08:21,195.27908124934072
609,194.6478,194.65,194.65,194.65,194.65,1704809346000,21,84,2024-01-09 08:09:06,195.26910407962004
100,194.5135,194.5135,194.5135,194.5135,194.5135,1704809375000,1,85,2024-01-09 08:09:35,195.26714822819864
980,194.7903,194.81,194.81,194.81,194.81,1704809422000,30,86,2024-01-09 08:10:22,195.25535131143812
135,194.623,194.61,194.61,194.61,194.61,1704809499000,2,87,2024-01-09 08:11:39,195.2532035951494
106,194.6215,194.6,194.6,194.6,194.6,1704809798000,2,88,2024-01-09 08:16:38,195.25152344808546
100,194.97,194.97,194.97,194.97,194.97,1704809879000,1,89,2024-01-09 08:17:59,195.25081882915347
2355,194.9467,194.95,194.95,194.95,194.9,1704810241000,22,90,2024-01-09 08:24:01,195.2338909924602
745,194.95,194.95,194.95,194.95,194.95,1704810248000,2,91,2024-01-09 08:24:08,195.2289785850327
300,194.6571,194.7,194.7,194.7,194.7,1704810490000,9,92,2024-01-09 08:28:10,195.22502131291228
185,194.9996,194.9992,194.9992,194.9992,194.9992,1704810550000,3,93,2024-01-09 08:29:10,195.2240634833138
656,195.0364,194.99,195.15,195.15,194.99,1704810571000,9,94,2024-01-09 08:29:31,195.22127793641815
230,195.3883,195.4,195.4,195.4,195.4,1704810599000,4,95,2024-01-09 08:29:59,195.22214265391108
63774,195.6501,195.65,195.85,195.85,195.64,1704810601000,22,96,2024-01-09 08:30:01,195.47438668379561
1302,195.8953,196.0,195.96,196.05,195.65,1704810603000,37,97,2024-01-09 08:30:03,195.47939147039756
733,195.8152,195.8,195.93,195.93,195.8,1704810605000,34,98,2024-01-09 08:30:05,195.4816244262206
438,196.0288,196.07,196.07,196.07,196.07,1704810607000,22,99,2024-01-09 08:30:07,195.48378995048432
921,196.2319,196.14,196.045,196.3,196.045,1704810613000,10,100,2024-01-09 08:30:13,195.48996425671862
221,196.1426,196.19,196.19,196.19,196.19,1704810624000,12,101,2024-01-09 08:30:24,195.49125418909978
582,195.978,195.96,195.96,195.96,195.96,1704810625000,22,102,2024-01-09 08:30:25,195.49377461742412
631,196.0866,196.1,196.065,196.1,196.065,1704810626000,11,103,2024-01-09 08:30:26,195.4970842055438
313,196.1671,196.2,196.2,196.2,196.2,1704810628000,10,104,2024-01-09 08:30:28,195.49893452267514
171,196.2052,196.21,196.21,196.21,196.21,1704810629000,4,105,2024-01-09 08:30:29,195.49999848472837
597,196.0917,196.1,196.08,196.1,196.08,1704810631000,10,106,2024-01-09 08:30:31,195.50309419935502
412,196.0575,196.06,196.06,196.06,196.06,1704810636000,25,107,2024-01-09 08:30:36,195.50508874345095
1007,196.0365,196.0363,196.0363,196.0363,196.0363,1704810640000,2,108,2024-01-09 08:30:40,195.50972083062837
206,195.9139,195.91,195.91,195.91,195.91,1704810641000,5,109,2024-01-09 08:30:41,195.51044025299615
660,196.0149,196.015,196.015,196.015,196.015,1704810653000,4,110,2024-01-09 08:30:53,195.51330076379165
1230,195.873,195.87,195.87,195.87,195.87,1704810663000,3,111,2024-01-09 08:31:03,195.51706218851754
230,195.9361,195.95,195.95,195.95,195.95,1704810664000,3,112,2024-01-09 08:31:04,195.5178799759022
551,196.1312,196.12,196.12,196.12,196.12,1704810671000,19,113,2024-01-09 08:31:11,195.52073409682106
100,196.11,196.11,196.11,196.11,196.11,1704810673000,1,114,2024-01-09 08:31:13,195.52123135084048
200,196.0001,196.0001,196.0001,196.0001,196.0001,1704810679000,1,115,2024-01-09 08:31:19,195.52203817899985
254,196.0593,196.01,196.11,196.11,196.01,1704810680000,5,116,2024-01-09 08:31:20,195.52318534440727
1567,196.2224,196.22,196.22,196.26,196.21,1704810689000,34,117,2024-01-09 08:31:29,195.53227615017627
394,196.2205,196.215,196.22,196.22,196.195,1704810690000,10,118,2024-01-09 08:31:30,195.53451864471256
131,196.1828,196.21,196.21,196.21,196.21,1704810691000,4,119,2024-01-09 08:31:31,195.53522021313506
2591,196.2961,196.205,196.215,196.35,196.1957,1704810693000,36,120,2024-01-09 08:31:33,195.55116508197116
500,196.23,196.23,196.23,196.23,196.23,1704810694000,1,121,2024-01-09 08:31:34,195.55389921057505
620,196.2128,196.23,196.22,196.23,196.21,1704810695000,8,122,2024-01-09 08:31:35,195.5571736191598
747,196.1764,196.2,196.07,196.35,196.07,1704810696000,10,123,2024-01-09 08:31:36,195.56085913806288
300,196.05,196.05,196.05,196.05,196.05,1704810697000,4,124,2024-01-09 08:31:37,195.56202553653182
196,196.235,196.235,196.235,196.235,196.235,1704810699000,2,125,2024-01-09 08:31:39,195.56307235246496
473,196.266,196.27,196.235,196.27,196.235,1704810700000,14,126,2024-01-09 08:31:40,195.56570116859186
211,196.2351,196.2575,196.215,196.2575,196.215,1704810701000,4,127,2024-01-09 08:31:41,195.56681605834802
310,196.215,196.215,196.215,196.215,196.215,1704810702000,3,128,2024-01-09 08:31:42,195.56839826453955
739,196.0882,196.07,196.07,196.07,196.07,1704810710000,18,129,2024-01-09 08:31:50,195.5714054862725
275,196.0878,196.175,196.175,196.175,196.175,1704810711000,7,130,2024-01-09 08:31:51,195.57251482361022
100,196.0101,196.0101,196.0101,196.0101,196.0101,1704810717000,1,131,2024-01-09 08:31:57,195.57285638816032
100,196.195,196.195,196.195,196.195,196.195,1704810722000,1,132,2024-01-09 08:32:02,195.57334163416837
200,196.2899,196.3199,196.3199,196.3199,196.3199,1704810724000,2,133,2024-01-09 08:32:04,195.5744576643927
212,196.0492,196.08,196.08,196.08,196.08,1704810725000,6,134,2024-01-09 08:32:05,195.57524014180862
1779,196.1308,195.95,196.2,196.2,195.95,1704810731000,37,135,2024-01-09 08:32:11,195.58281926949527
595,196.1413,196.19,196.126,196.19,196.126,1704810732000,4,136,2024-01-09 08:32:12,195.58535591917428
